,House Age,Distance from nearest Metro station (km),Number of convenience stores,latitude,longitude,Number of bedrooms,House size (sqft),prices
344,34.6,3085.17,-1.391638279665349,24.998,121.5155,3,1012,41694.4
345,0.0,185.4296,-1.391638279665349,24.9711,121.5317,2,839,31798.1
346,13.2,1712.632,-0.711829137740329,24.96412,121.5167,3,1400,43120.0
347,17.4,6488.021,-1.051733708702839,24.95719,121.47353,3,933,10449.599999999999
348,4.6,259.6607,0.6477891461097112,24.97585,121.54516,3,1183,63527.100000000006
349,7.8,104.8101,0.30788457514720113,24.96674,121.54067,2,889,41783.0
350,13.2,492.2313,0.30788457514720113,24.96515,121.53737,2,1146,48475.799999999996
351,4.0,2180.245,-0.37192456677781893,24.96324,121.51241,1,524,14986.400000000001
352,18.4,2674.961,-0.37192456677781893,24.96143,121.50827,2,1007,25879.899999999998
353,4.1,2147.376,-0.37192456677781893,24.96299,121.51284,2,901,28201.3
354,12.2,1360.139,-1.051733708702839,24.95204,121.54842,3,1343,40424.3
355,3.8,383.8624,0.30788457514720113,24.98085,121.54391,1,493,29925.100000000002
356,10.3,211.4473,-1.051733708702839,24.97417,121.52999,1,424,19207.199999999997
357,0.0,338.9679,1.6675028589972412,24.96853,121.54413,3,1319,59223.1
358,1.1,193.5845,0.6477891461097112,24.96571,121.54089,2,1021,46047.1
359,5.6,2408.993,-1.391638279665349,24.95505,121.55964,2,876,21637.2
360,32.9,87.30222,2.007407429959751,24.983,121.54022,3,1071,50444.1
361,41.4,281.205,1.3275982880347312,24.97345,121.54093,1,533,33738.9
362,17.1,967.4,-0.032019995815308906,24.98872,121.53408,1,550,22000.0
363,32.3,109.9455,2.007407429959751,24.98182,121.54086,2,1135,54480.0
364,35.3,614.1394,0.9876937170722212,24.97913,121.53666,3,1369,45313.9
365,17.3,2261.432,-0.032019995815308906,24.96182,121.51222,1,565,16667.5
366,14.2,1801.544,-1.051733708702839,24.95153,121.55254,1,589,14607.2
367,15.0,1828.319,-0.711829137740329,24.96464,121.51531,3,840,17556.0
368,18.2,350.8515,-1.051733708702839,24.97544,121.53119,3,1246,53702.6
369,20.2,2185.128,-0.37192456677781893,24.96322,121.51237,3,1350,30780.0
370,15.9,289.3248,0.30788457514720113,24.98203,121.54348,2,1060,44626.0
371,4.1,312.8963,0.30788457514720113,24.95591,121.53956,2,864,44668.8
372,33.9,157.6052,0.9876937170722212,24.96628,121.54196,1,570,23655.0
373,0.0,274.0144,-1.051733708702839,24.9748,121.53059,2,1172,61178.4
374,5.4,390.5684,0.30788457514720113,24.97937,121.54245,3,1057,52321.5
375,21.7,1157.988,-1.391638279665349,24.96165,121.55011,3,1276,30368.8
376,14.7,1717.193,-0.711829137740329,24.96447,121.51649,3,984,30012.0
377,3.9,49.66105,1.3275982880347312,24.95836,121.53756,3,1325,75260.0
378,37.3,587.8877,1.3275982880347312,24.97077,121.54634,2,1040,38896.0
379,0.0,292.9978,0.6477891461097112,24.97744,121.54458,3,1410,98277.0
380,14.1,289.3248,0.30788457514720113,24.98203,121.54348,2,1149,61241.7
381,8.0,132.5469,1.6675028589972412,24.98298,121.53981,3,1451,68632.3
382,16.3,3529.564,-1.391638279665349,24.93207,121.51597,1,411,12042.300000000001
383,29.1,506.1144,-0.032019995815308906,24.97845,121.53889,2,1130,45539.0
384,16.1,4066.587,-1.391638279665349,24.94297,121.50342,2,1500,19350.0
385,18.3,82.88643,2.007407429959751,24.983,121.54026,3,839,39097.4
386,0.0,185.4296,-1.391638279665349,24.9711,121.5317,1,565,31244.5
387,16.2,2103.555,-0.37192456677781893,24.96042,121.51462,2,1405,35968.0
388,10.4,2251.938,-0.032019995815308906,24.95957,121.51353,1,505,13786.5
389,40.9,122.3619,1.3275982880347312,24.96756,121.5423,1,579,39198.3
390,32.8,377.8302,1.6675028589972412,24.97151,121.5435,2,1438,55506.8
391,6.2,1939.749,-1.051733708702839,24.95155,121.55387,3,1494,46762.200000000004
392,42.7,443.802,0.6477891461097112,24.97927,121.53874,3,1234,43560.2
393,16.9,967.4,-0.032019995815308906,24.98872,121.53408,1,413,16643.899999999998
394,32.6,4136.271,-1.051733708702839,24.95544,121.4963,1,421,10398.699999999999
395,21.2,512.5487,-0.032019995815308906,24.974,121.53842,3,1088,46240.0
396,37.1,918.6357,-1.051733708702839,24.97198,121.55063,2,907,28933.3
397,13.1,1164.838,-0.032019995815308906,24.99156,121.53406,3,1230,39606.0
398,14.7,1717.193,-0.711829137740329,24.96447,121.51649,1,425,9775.0
399,12.7,170.1289,-1.051733708702839,24.97371,121.52984,1,489,18239.699999999997
400,26.8,482.7581,0.30788457514720113,24.97433,121.53863,3,964,34222.0
401,7.6,2175.03,-0.37192456677781893,24.96305,121.51254,2,1247,34541.9
402,12.7,187.4823,-1.051733708702839,24.97388,121.52981,1,537,15304.5
403,30.9,161.942,1.6675028589972412,24.98353,121.53966,1,549,21795.300000000003
404,16.4,289.3248,0.30788457514720113,24.98203,121.54348,2,1420,58504.00000000001
405,23.0,130.9945,0.6477891461097112,24.95663,121.53765,3,808,30057.600000000002
406,1.9,372.1386,0.9876937170722212,24.97293,121.54026,2,1268,51354.0
407,5.2,2408.993,-1.391638279665349,24.95505,121.55964,1,587,13090.1
408,18.5,2175.744,-0.37192456677781893,24.9633,121.51243,1,477,13403.7
409,13.7,4082.015,-1.391638279665349,24.94155,121.50381,3,803,12366.2
410,5.6,90.45606,1.6675028589972412,24.97433,121.5431,2,1278,63900.0
411,18.8,390.9696,0.9876937170722212,24.97923,121.53986,1,503,20421.8
412,8.1,104.8101,0.30788457514720113,24.96674,121.54067,1,597,31342.5
413,6.5,90.45606,1.6675028589972412,24.97433,121.5431,2,1097,70098.3
